"Title","Platform","Playing","Backlog","Replay","On hold","EA","Custom-3","Completed","Retired","Retired Notes","Start Date","Completion Date","Playthrough","Progress","Main Story","Main Story Notes","Main + Extras","Main + Extras Notes","Completionist","Completionist Notes","Speed Any%","Speed Any% Notes","Speed 100%","Speed 100% Notes","Co-Op","Multi-Player","General Notes","Storefront","Review","Review Notes","Added","Updated"
"Tag: The Power of Paint","PC","","","","","","","X","","","","2023-06-30","First-Play","--","00:19:00","","--","","--","","--","","--","","--","--","","Steam","50","","2023-06-29 23:02:59","2023-06-29 23:03:23"
"Tekken","Emulated","","","","","","","X","","","","2023-08-27","First-Play","--","00:50:00","Arcade Mode - Yoshimitsu - Normal difficulty - 2 Round","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","40","","2023-08-27 12:41:37","2023-10-24 12:28:37"
"Tekken 2","Emulated","","","","","","","X","","","","2023-08-27","First-Play","--","18:00:00","Arcade Mode - Jun - Normal difficulty - 2 Round","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","40","","2023-08-27 14:27:27","2023-10-24 12:28:26"
"Tekken 3","Emulated","","","","","","","X","","","","2023-08-27","First-Play","--","00:19:00","Arcade Mode - Lei - Normal difficulty - 2 Round","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","50","","2023-08-27 15:08:27","2023-10-24 12:29:50"
"Tekken 4","Emulated","","","","","","","X","","","","2023-08-27","First-Play","--","00:23:00","Story Mode - Hwoarang - Normal difficulty - 2 Round","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","40","","2023-08-27 22:19:59","2023-10-24 12:28:17"
"Tekken 5","Emulated","","","","","","","X","","","","2023-08-27","First-Play","--","00:20:00","Story Mode - Steve - Normal difficulty - 2 Round","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","60","","2023-08-27 22:45:04","2023-10-24 12:30:13"
"Tekken 7","PC","","","","","","","X","","","","2023-07-31","First-Play","--","4:30:00","","6:20:00","Akuma Beaten + All Character Episode","--","","--","","--","","--","--","","Steam","70","","2024-01-26 03:51:24","2024-01-26 03:52:38"
"Tekken 8","PC","","","","","","","X","","","","2024-01-26","First-Play","--","3:28:00","Story Mode - Normal Difficulty","--","","--","","--","","--","","--","--","","Steam","80","","2024-01-26 03:47:36","2024-01-28 05:19:49"
"Tekken Advance","Emulated","","","","","","","X","","","","2024-02-21","First-Play","--","00:14:00","Arcade with Law","--","","--","","--","","--","","--","--","GBA / PC","Direct Download","30","","2024-02-21 04:41:22","2025-01-08 08:11:51"
"Tekken Tag Tournament","Emulated","","","","","","","X","","","","2023-08-27","First-Play","--","00:45:00","Arcade Mode - Bryan and Heihachi - Normal difficulty - 2 Round","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","60","","2023-08-27 16:07:22","2023-10-24 12:30:06"
"Tekken Tag Tournament 2","Emulated","","","","","","","X","","","","2023-08-28","First-Play","--","00:41:00","Arcade Mode - Lars - Normal difficulty - 2 Round","--","","--","","--","","--","","--","--","X360 / PC","Direct Download","70","","2023-08-28 18:43:47","2024-11-04 17:20:22"
"The Binding of Isaac: Rebirth","PC","","","","","","","X","","","2025-03-31","2025-03-31","First-Play","--","1:30:00","Online +  First win","--","","--","","--","","--","","--","--","","Steam","60","","2025-03-31 00:21:11","2025-03-31 00:22:41"
"The Lab","PC VR","","","","","","","X","","","","2023-05-14","First-Play","00:15:00","1:15:00","","--","","--","","--","","--","","--","--","","Steam","60","","2023-05-14 18:01:18","2023-05-14 18:01:18"
"The Last of Us Part I","PC","","","","","","","X","","","2024-09-29","2024-10-05","First-Play","11:03:00","--","","12:56:00","Main story (11H 3M) + Left Behind (1H 53M)","--","","--","","--","","--","--","","Direct Download","70","","2024-09-29 08:28:07","2024-10-30 12:26:28"
"The Last of Us Part II Remastered","PC","","","","","","","X","","","2025-04-07","2025-05-28","First-Play","--","20:20:00","Main story completed","--","","--","","--","","--","","--","--","","Direct Download","70","","2025-04-06 19:21:09","2025-05-28 13:57:17"
"The Legend of Zelda","Emulated","","","","","","","X","","","2024-08-26","2024-08-31","First-Play","--","6:09:00","","--","","--","","--","","--","","--","--","NES / PC","Direct Download","50","","2024-08-26 21:38:57","2024-10-30 12:31:00"
"The Legend of Zelda: Echoes of Wisdom","Emulated","","","","","","","X","","","2024-09-25","2024-10-01","First-Play","--","19:53:00","","--","","--","","--","","--","","--","--","NS / PC","Direct Download","70","","2024-09-25 13:51:55","2024-11-04 17:24:16"
