"Title","Platform","Playing","Backlog","Replay","On hold","EA","Custom-3","Completed","Retired","Retired Notes","Start Date","Completion Date","Playthrough","Progress","Main Story","Main Story Notes","Main + Extras","Main + Extras Notes","Completionist","Completionist Notes","Speed Any%","Speed Any% Notes","Speed 100%","Speed 100% Notes","Co-Op","Multi-Player","General Notes","Storefront","Review","Review Notes","Added","Updated"
"8-Bit Bayonetta","PC","","","","","","","X","","","","2023-04-23","First-Play","00:45:00","--","","--","","00:45:00","","--","","--","","--","--","","Steam","40","","2023-04-23 18:25:58","2023-07-09 11:21:31"
"A Hat in Time","PC","","","","","","","X","","","","2019-04-05","First-Play","--","--","","21:51:00","","--","","--","","--","","--","--","","Steam","80","","2021-07-19 20:30:30","2025-01-03 19:42:02"
"A Story About My Uncle","PC","","","","","","","X","","","2024-10-20","2024-10-22","First-Play","--","1:59:00","","--","","--","","--","","--","","--","--","","Steam","50","","2024-10-21 13:37:59","2024-10-30 12:24:20"
"A Way Out","PC","","","","","","","X","","","","2023-05-21","First-Play","6:39:00","6:39:00","Co-op","--","","--","","--","","--","","--","--","","Xbox Game Pass","60","","2023-05-21 22:06:06","2025-06-19 20:33:04"
"ABZÛ","PC","","","","","","","X","","","","2024-04-11","First-Play","--","1:18:00","","--","","--","","--","","--","","--","--","","Steam","50","","2024-04-11 16:05:52","2024-04-11 16:52:53"
"Age of War","Browser","","","","","","","X","","","","2021-12-15","Replay","--","00:06:00","","--","","--","","--","","--","","--","--","","","20","","2021-12-15 12:36:39","2023-05-09 23:00:42"
"Air Combat","Emulated","","","","","","","X","","","2025-01-30","2025-02-01","First-Play","--","1:50:00","","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","50","","2025-01-30 11:33:40","2025-02-01 18:47:29"
"Alan Wake","PC","","","","","","","","X","gameplay is boring","","","","00:17:00","--","","--","","--","","--","","--","","--","--","","Steam","0","","2024-10-20 16:55:21","2025-10-26 13:41:04"
"Anomaly Agent","PC","","","","","","","X","","","","2024-01-28","First-Play","5:25:00","--","","5:25:00","Boxes 26/28","--","","--","","--","","--","--","","Steam","60","","2024-01-26 17:10:01","2024-01-28 00:03:36"
"Aperture Desk Job","PC","","","","","","","X","","","","2022-03-02","First-Play","00:32:00","00:32:00","","--","","--","","--","","--","","--","--","","Steam","60","","2022-03-02 00:00:19","2022-10-11 16:25:21"
"Aperture Hand Lab","PC VR","","","","","","","X","","","","2023-06-18","First-Play","00:25:00","00:25:00","","--","","--","","--","","--","","--","--","","Steam","40","","2023-06-18 17:11:32","2024-06-25 02:00:32"
"Aperture Tag: The Paint Gun Testing Initiative","PC","","","","","","","X","","","","2023-06-04","Replay","--","3:23:00","","--","","--","","--","","--","","--","--","","Steam","60","","2023-06-04 17:27:12","2024-12-14 23:58:04"
"Assassin's Creed Mirage","PC","","","","","","","X","","","2025-11-20","2025-11-24","First-Play","--","13:42:00","","--","","--","","--","","--","","--","--","","Ubisoft Connect","30","","2025-11-20 14:46:35","2025-11-24 15:37:43"
"Astal","Emulated","","","","","","","X","","","2025-11-03","2025-11-05","First-Play","--","1:33:00","","--","","--","","--","","--","","--","--","SS / PC","Direct Download","50","","2025-11-03 18:14:17","2025-11-05 19:39:09"
"Asteroids","Emulated","","","","","","","X","","","2026-01-22","2026-01-22","First-Play","--","00:10:00","Cleared the screen a few times","--","","--","","--","","--","","--","--","Atari 2600 / PC","Direct Download","50","","2026-01-22 11:37:47","2026-01-29 20:34:55"
"Astral Chain","Emulated","","","","","","","X","","","2024-08-09","2024-08-24","First-Play","--","15:39:00","Mostly standard. Didn't do File 12.","--","","--","","--","","--","","--","--","NS / PC","Direct Download","50","","2024-08-09 16:59:42","2024-11-04 17:24:23"
"Astro Bot","PlayStation 5","X","","","","","","","","","2026-04-01","","","6:54:00","--","","--","","--","","--","","--","","--","--","","PlayStation Store","60","","2026-04-01 16:00:53","2026-04-05 19:09:45"
"Astro's Playroom","PlayStation 5","","","","","","","X","","","2026-02-19","2026-02-21","First-Play","--","2:15:00","19.02.2026","3:55:00","20.02.2026","5:07:00","51/51 All Achievements","--","","--","","--","--","","PlayStation Store","70","","2026-02-19 13:03:47","2026-02-21 11:38:20"
"Awaria","PC","","","","","","","X","","","2025-01-09","2025-01-09","First-Play","1:26:00","1:25:00","","--","","--","","--","","--","","--","--","","Steam","60","","2025-01-08 23:20:41","2025-01-08 23:21:23"
"Azumanga Daioh Puzzle Bobble","Emulated","","","","","","","X","","","2025-10-03","2025-10-03","First-Play","--","00:48:00","Single Player Mode Clear - School Course - Chiyo","--","","--","","--","","--","","--","--","NAOMI GD-ROM / PC","Direct Download","50","","2025-10-03 18:18:25","2025-10-03 18:22:08"
"Bad Piggies","Emulated","","","","","","","X","","","2025-04-16","2025-05-23","First-Play","--","--","","--","","37:00:00","All Stars (including Field of Dreams)","--","","--","","--","--","Android / PC","Google Play","60","","2025-04-16 14:17:45","2025-05-23 16:33:44"
"Balatro","PC","","","","","","","X","","","2024-11-30","2024-11-30","First-Play","--","1:39:00","First Win","--","","--","","--","","--","","--","--","","Steam","60","","2024-11-30 01:37:42","2024-11-30 01:38:30"
"Bayonetta","PC","","","","","","","X","","","","2019-06-10","Replay","23:02:00","22:04:00","","23:02:00","","--","","--","","--","","--","--","","Steam","70","","2021-07-19 19:35:37","2023-04-04 03:49:16"
"Bayonetta 2","Nintendo Switch","","","","","","","X","","","","2019-01-09","First-Play","--","10:25:00","","25:00:00","","--","","--","","--","","--","--","","Nintendo eShop","100","","2021-07-19 20:35:54","2023-04-04 03:43:50"
"Bayonetta 3","Nintendo Switch","","","","","","","X","","","","2022-10-30","First-Play","--","13:11:33","","19:59:45","","--","","--","","--","","--","--","","Nintendo eShop","80","","2022-10-30 17:03:24","2025-03-28 10:55:11"
"Bayonetta Origins: Cereza and the Lost Demon","Emulated","","","","","","","X","","","","2023-08-09","First-Play","--","13:22:00","Main Story Only %72","--","","--","","--","","--","","--","--","NS / PC","Direct Download","70","","2023-04-23 16:30:33","2024-11-04 17:19:06"
"Beholder","PC","","","","","","","X","","","","2019-11-12","First-Play","1:25:00","1:25:00","","--","","--","","--","","--","","--","--","","Steam","50","","2021-07-19 20:37:34","2022-05-26 21:39:46"
"Berserk: Millennium Falcon Arc: Chapter of the Holy Demon War","Emulated","","","","","","","X","","","","2024-02-04","First-Play","--","10:25:00","","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","50","","2024-01-14 22:23:28","2024-02-04 09:57:13"
"Blade Chimera","PC","","","","","","","X","","","2025-01-17","2025-01-24","First-Play","--","8:17:00","","--","","--","","--","","--","","--","--","","Steam","50","","2025-01-17 07:52:02","2025-01-24 05:20:52"
"Bloodborne","PlayStation 4","","","","","","","X","","","","2023-12-11","First-Play","--","28:42:10","","--","","--","","--","","--","","--","--","16/17 (No Moon Presence)  - First playthrough (No Chalice Dungeon)

Level 80 Saw Cleaver

Vit: - 20
End: - 34
Str: - 50
Skill: - 13
Bloodtinge - 7
Arcane - 6

Ending:
Honoring Wishes","PlayStation Store","70","","2023-11-19 17:48:31","2023-12-11 16:09:24"
"Bloody Roar","Emulated","","","","","","","X","","","2024-11-27","2024-11-27","First-Play","--","00:26:00","Normal Arcade, Alice","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","50","","2024-11-27 18:07:09","2024-11-27 18:14:52"
"Bound","PlayStation 4","","","","","","","X","","","2024-12-15","2024-12-15","First-Play","--","1:33:00","","--","","--","","--","","--","","--","--","","PlayStation Plus","50","","2024-12-15 16:29:37","2026-02-20 00:25:20"
"Boxing","Emulated","","","","","","","X","","","2025-07-19","2025-07-19","First-Play","--","00:10:00","KO x 70","--","","--","","--","","--","","--","--","Atari 2600 / PC","Direct Download","40","","2025-07-19 09:53:05","2025-07-19 09:54:58"
"Bridge Constructor Portal","PC","","","","","","","X","","","","2023-05-31","First-Play","19:22:00","--","","--","","19:22:00","","--","","--","","--","--","","Steam","50","","2023-05-09 22:42:08","2023-07-09 11:21:15"
"Bridge Constructor Portal - Portal Proficiency","PC","","","","","","","X","","","","2023-06-03","First-Play","--","--","","--","","9:30:00","","--","","--","","--","--","","Steam","60","","2023-05-31 18:29:58","2023-07-09 11:20:25"
"Bright Memory: Infinite","PC","","","","","","","X","","","2024-12-01","2024-12-01","First-Play","--","1:30:08","","--","","--","","--","","--","","--","--","","Steam","50","","2024-11-30 22:21:50","2024-12-01 00:09:37"
"Brothers: A Tale of Two Sons","PC","","","","","","","X","","","","2024-04-14","First-Play","--","2:40:00","","--","","--","","--","","--","","--","--","","Steam","50","","2024-04-12 13:54:57","2024-04-14 18:45:45"
"Buckshot Roulette","PC","","","","","","","X","","","2024-11-04","2024-11-04","First-Play","--","00:15:00","","--","","--","","--","","--","","--","--","","Steam","60","","2024-11-04 16:22:09","2024-11-04 16:41:47"
"Bushido Blade","Emulated","","","","","","","X","","","2025-03-24","2025-03-24","First-Play","--","00:35:00","Story mode - Rapier - Red Shadow","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","40","","2025-03-24 10:37:32","2025-03-24 11:10:13"
"Call of Duty: Black Ops 6","PC","","","","","","","X","","","2024-10-25","2024-10-27","First-Play","--","7:25:00","","--","","--","","--","","--","","--","--","","Xbox Game Pass","50","","2024-10-25 00:47:01","2024-10-30 12:23:42"
"Call of Duty: Black Ops Cold War","PC","","","","","","","X","","","2024-08-24","2024-08-26","First-Play","--","4:41:00","","--","","--","","--","","--","","--","--","","Battle.net","60","","2024-08-24 23:16:42","2024-10-30 12:31:55"
"Call of Juarez: Gunslinger","PC","","","","","","","X","","","","2023-12-15","First-Play","3:23:00","3:23:00","","--","","--","","--","","--","","--","--","","Steam","50","","2023-12-09 07:17:57","2024-06-25 02:10:48"
"Captain Toad: Treasure Tracker","Emulated","","","","","","","X","","","2024-11-12","2024-11-13","First-Play","2:06:00","2:06:00","Only Episode 1","--","","--","","--","","--","","--","--","NS / PC","Direct Download","50","","2024-11-12 18:09:39","2024-11-13 02:41:52"
"Castlevania","Emulated","","","","","","","X","","","","2023-12-03","First-Play","--","1:01:00","","--","","--","","--","","--","","--","--","NES / PC","Direct Download","40","","2023-12-03 08:01:33","2024-06-25 02:01:17"
"Castlevania II: Simon's Quest","Emulated","","","","","","","X","","","","2023-12-04","First-Play","--","2:32:00","","--","","--","","--","","--","","--","--","NES / PC","Direct Download","40","","2023-12-04 04:38:40","2024-06-25 02:01:11"
"Castlevania: Circle of the Moon","Emulated","","","","","","","X","","","2024-10-28","2024-10-31","First-Play","--","7:21:00","71%","--","","--","","--","","--","","--","--","GBA / PC","Direct Download","50","","2024-10-27 21:50:34","2024-10-31 14:07:30"
"Castlevania: Symphony of the Night","Emulated","","","","","","","X","","","","2024-05-20","First-Play","--","5:07:00","Worst Ending","14:18:00","Good Ending 190% map completion.","--","","--","","--","","--","--","PS1 / PC","Direct Download","90","","2024-05-15 20:35:06","2024-05-20 11:10:41"
"Celeste","PC","","","","","","","X","","","","2022-03-01","First-Play","--","5:12:35","","--","","--","","--","","--","","--","--","","Epic Games","60","","2022-02-28 23:52:21","2022-05-26 21:35:47"
"Child of Eden","Emulated","","","","","","","X","","","2026-01-01","2026-01-03","First-Play","--","5:19:00","","--","","--","","--","","--","","--","--","PS3 / PC","Direct Download","60","","2026-01-01 14:41:42","2026-01-03 11:52:58"
"Circus Charlie","Emulated","","","","","","","X","","","2025-01-04","2025-01-04","First-Play","--","00:19:00","NES - 1st Loop completed.","--","","--","","--","","--","","--","--","NES / PC","Direct Download","50","","2025-01-04 19:09:56","2025-01-04 19:11:14"
"City Game Studio","PC","","","","","","","X","","","2025-06-19","2025-06-19","First-Play","--","4:46:00","","--","","--","","--","","--","","--","--","","Direct Download","60","","2025-06-19 07:23:57","2025-06-19 07:24:40"
"Clair Obscur: Expedition 33","PC","","","","","","","X","","","2025-04-24","2025-05-10","First-Play","--","37:58:00","Verso Ending - Few side-quests","--","","--","","--","","--","","--","--","","Xbox Game Pass","70","","2025-04-24 20:11:54","2025-06-19 20:30:19"
"Clustertruck","PC","","","","","","","X","","","","2021-11-04","First-Play","3:33:00","3:33:00","","--","","--","","--","","--","","--","--","","Steam","60","","2021-11-04 03:51:12","2023-01-01 18:21:36"
"Cocoon","PC","","","","","","","X","","","","2023-12-05","First-Play","--","3:59:00","","--","","--","","--","","--","","--","--","","Xbox Game Pass","50","","2023-12-05 05:35:33","2023-12-05 11:21:58"
"Control: Ultimate Edition","PC","","","","","","","X","","","","2024-01-11","First-Play","22:53:00","--","","22:53:00","Main Story+AWE+Foundation 52/67 achievements.","--","","--","","--","","--","--","","Steam","70","","2023-12-28 18:21:16","2024-01-11 18:51:34"
"Crash of the Titans","Emulated","","","","","","","X","","","","2021-06-13","First-Play","--","13:00:00","Co-op","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","40","","2021-07-19 21:18:11","2025-01-03 19:46:38"
"Crimson Desert","PC","X","","","","","","","","","2026-03-23","","","7:23:00","--","","--","","--","","--","","--","","--","--","","Steam","60","","2026-03-23 15:36:06","2026-04-01 06:43:53"
"Cuphead","PC","","","","","","","X","","","","2022-09-01","First-Play","--","--","","23:35:00","","--","","--","","--","","--","--","","Steam","60","","2022-08-13 04:43:15","2023-07-09 11:20:36"
"Cuphead: The Delicious Last Course","PC","","","","","","","X","","","","2022-09-06","First-Play","--","8:07:00","","9:10:00","","--","","--","","--","","--","--","","Steam","70","","2022-09-06 16:14:36","2024-11-28 18:52:57"
"Dance Dance Revolution Mario Mix","Emulated","","","","","","","X","","","","2024-02-21","First-Play","--","1:01:00","Finished normal mode without DDR pad","--","","--","","--","","--","","--","--","NGC / PC","Direct Download","40","","2024-02-20 23:46:00","2024-06-10 16:22:06"
"Dancing Eyes","Emulated","","","","","","","X","","","2024-11-04","2024-11-04","First-Play","--","1:03:21","","--","","--","","--","","--","","--","--","Namco System 11 / PC","Direct Download","50","","2024-11-04 17:05:32","2024-11-04 19:03:13"
"Dark Souls II","PC","","","","","","","X","","","","2023-10-27","First-Play","--","--","","46:59:30","29/32 Bosses - First playthrough  Ending: Proceed to Throne (No Dlc Bosses + No VENDRICK + No DARKLURKER + No ALDİA)","--","","--","","--","","--","--","29/32 Bosses - First playthrough  Ending: Proceed to Throne (No Dlc Bosses + No VENDRICK + No DARKLURKER + No ALDİA)

SL 140 

Vigor: 32
Endurance: 44
Vitality: 18
Attunement: 6
Strength: 50
Dexterity: 25
Adaptability: 6
Intelligence: 7
Faith: 5","Steam","60","","2023-09-06 20:27:48","2024-07-14 21:18:29"
"Dark Souls III","PC","","","","","","","X","","","","2024-04-29","First-Play","--","--","","46:56:25","All Bosses + All Dlc Bosses - First playthrough Ending: To Link The First Flame","--","","--","","--","","--","--","All Area Bosses + All Dlc Bosses - First playthrough Level SL 118 Vigor: 30 Attunement: 6 Endurance: 40 Vitality: 13 Strength: 43 Dexterity: 54 Intelligence: 9 Faith: 9 Luck: 11 Ending: To Link The First Flame","Steam","90","","2024-03-27 16:00:21","2024-09-09 18:19:51"
"Dark Souls III","PC","","","X","","","","X","","","2024-12-23","2025-01-01","Replay","--","16:57:00","Level SL 65 - Early Bad Fatih Build - Late Bad Dex Build","--","","--","","--","","--","","--","--","Level SL 65 Vigor: 23 Attunement: 14 Endurance: 24 Vitality: 7 Strength: 20 Dexterity: 30 Intelligence: 10 Faith: 16  Luck: 13 Ending: To Link The First Flame","Steam","0","","2024-12-28 09:22:15","2025-01-03 20:04:52"
"Dark Souls: Remastered","PC","","","","","","","X","","","","2023-09-05","First-Play","--","--","","76:36:00","All Area Bosses + All Dlc Bosses - First playthrough + Ending: The Dark Lord","--","","--","","--","","--","--","All Area Bosses + All Dlc Bosses - First playthrough

Level SL 92

Vit: 26
Att: 10
End: 36
Str: 46
Dex: 26
Res: 10
Int: 9
Fai: 11

Rings:
Cloranthy Ring
Ring of Favor and Protection

Spells:
Power Within","Steam","70","","2023-07-12 00:47:09","2024-12-27 18:42:41"
"Dave the Diver","Nintendo Switch","","","","X","","","","","","","","","8:36:00","--","","--","","--","","--","","--","","--","--","","Nintendo eShop","50","The game is very nice if you can be patient with the loop in the game","2024-01-04 09:12:43","2024-09-02 18:36:47"
"Daytona USA","Emulated","","","","","","","X","","","2024-12-06","2024-12-06","First-Play","--","1:33:00","Only 3 tracks","--","","--","","--","","--","","--","--","SS / PC","Direct Download","40","","2024-12-06 15:09:51","2025-11-16 02:29:11"
"Dead or Alive","Emulated","","","","","","","X","","","2025-01-01","2025-01-01","First-Play","--","00:41:00","Turnuva, Kasumi","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","50","","2025-01-01 19:28:31","2025-01-01 20:09:46"
"Dead or Alive 2","Emulated","","","","","","","X","","","2025-01-02","2025-01-02","First-Play","--","00:20:00","Beat with Kasumi","--","","--","","--","","--","","--","--","DC / PC","Direct Download","50","","2025-01-02 16:55:01","2025-01-02 17:01:10"
"Dead or Alive 3","Emulated","","","","","","","X","","","2025-01-07","2025-01-07","First-Play","--","00:30:00","Story Mode 2 Character - Ayane - Brad Wong","--","","--","","--","","--","","--","--","Xbox / PC","Direct Download","50","","2025-01-06 21:20:13","2025-01-06 22:13:21"
"Dead or Alive 4","Emulated","","","","","","","X","","","2025-01-07","2025-01-07","First-Play","--","00:31:00","Brad Wong","--","","--","","--","","--","","--","--","X360 / PC","Direct Download","40","","2025-01-07 02:10:17","2025-01-07 22:27:46"
"Deepest Sword","PC","","","","","","","X","","","","2021-07-20","First-Play","--","00:36:00","","--","","--","","--","","--","","--","--","","Steam","60","","2021-07-19 21:16:49","2022-05-26 21:16:45"
"Demon's Souls","Emulated","","","","","","","","X","I will play the remake version","","","","10:33:00","--","","--","","--","","--","","--","","--","--","PS3 / PC","Direct Download","40","","2024-02-04 14:03:34","2024-10-20 16:37:22"
"Demon's Souls","PlayStation 5","","","","","","","","X","remake version is also very boring.","2026-02-19","","","12:25:00","--","","--","","--","","--","","--","","--","--","","PlayStation Plus","40","","2026-02-20 00:11:17","2026-03-11 12:50:38"
"Devil May Cry","Emulated","","","","","","","X","","","","2023-11-10","First-Play","--","--","","7:29:00","","--","","--","","--","","--","--","PS2 / PC","Direct Download","50","","2023-11-07 00:54:09","2023-11-10 11:29:45"
"Devil May Cry 2","Emulated","","","","","","","X","","","","2023-11-17","First-Play","--","4:14:00","Only Dante","6:50:00","Dante (4:14:00), Lucia (2:36:00)","--","","--","","--","","--","--","PS2 / PC","Direct Download","50","","2023-11-16 15:00:02","2023-11-17 15:17:12"
"Devil May Cry 3: Dante's Awakening - Special Edition","Emulated","","","","","","","X","","","","2023-11-19","First-Play","--","9:17:00","","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","70","","2023-11-18 10:17:06","2023-11-19 16:21:46"
"Devil May Cry 4: Special Edition","PC","","","","","","","X","","","2024-11-18","2024-11-28","First-Play","--","9:03:00","","--","","--","","--","","--","","--","--","","Steam","60","","2024-11-18 13:51:37","2024-11-28 18:51:56"
"Devil May Cry 5","PC","","","X","","","","X","","","2024-11-29","2024-11-30","Replay","--","8:50:00","","--","","--","","--","","--","","--","--","","Steam","0","","2024-11-28 21:04:48","2024-11-30 15:42:08"
"Devil May Cry 5","PC","","","","","","","X","","","","2021-04-19","Replay","46:25:00","9:56:00","","46:25:00","","--","","--","","--","","--","--","","Steam","100","","2021-07-19 21:12:41","2023-10-02 07:19:53"
"Devil's Third","Emulated","","","","","","","X","","","2025-10-18","2025-10-21","First-Play","--","7:16:00","","--","","--","","--","","--","","--","--","Wii U / PC","Direct Download","60","","2025-10-18 20:58:31","2025-10-21 06:10:49"
"Diablo","PC","","","","","","","X","","","2025-02-26","2025-02-28","First-Play","--","18:32:00","DevilutionX - Real time - Multiplayer - Normal Difficulty - Rogue LVL 22 / Warrior LVL 23","--","","--","","--","","--","","--","--","","Xbox Game Pass","70","","2025-02-26 23:43:26","2025-02-28 23:47:12"
"Diablo II: Resurrected","PC","","","","","","","X","","","2025-10-14","2026-03-12","First-Play","--","--","","19:53:00","ACT V - Multiplayer - Normal Difficulty - Paladin LVL 30 / Sorceress LVL 31","--","","--","","--","","--","--","","Battle.net","60","","2025-10-14 03:16:37","2026-03-12 15:04:59"
"Diablo III","PC","X","","","","","","","","","2025-12-27","","","10:33:00","--","","--","","--","","--","","--","","--","--","","Battle.net","60","","2026-01-01 11:45:28","2026-01-29 20:17:21"
"Dino Crisis","Emulated","","","","","","","X","","","","2024-04-06","First-Play","--","8:06:00","Endings 1/3","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","50","","2024-04-03 21:04:43","2024-04-06 09:57:45"
"Divinity: Original Sin - Enhanced Edition","PC","","","","","","","X","","","2025-07-09","2025-07-26","First-Play","--","--","","53:58:00","Co-op - Main Story - Most Sidequests completed","--","","--","","--","","--","--","","Steam","70","","2025-07-09 04:31:22","2025-07-26 01:35:43"
"Divinity: Original Sin II","PC","","","","","","","X","","","2025-07-26","2025-09-19","First-Play","--","65:23:00","","--","","--","","--","","--","","--","--","","Steam","70","","2025-07-26 03:56:14","2025-09-18 23:07:57"
"DmC: Devil May Cry","PC","","","","","","","X","","","","2020-06-13","First-Play","6:00:00","6:12:00","","--","","--","","--","","--","","--","--","","Direct Download","40","","2021-07-19 21:11:33","2023-08-15 18:24:39"
"DoDonPachi","Emulated","","","","","","","X","","","2025-01-11","2025-01-11","First-Play","--","00:29:44","","--","","--","","--","","--","","--","--","CAVE 68000 Hardware / PC","Direct Download","50","","2025-01-10 21:12:23","2025-01-10 21:47:55"
"Dolphin Blue","Emulated","","","","","","","X","","","2026-02-13","2026-02-13","First-Play","--","00:47:00","Co-op","--","","--","","--","","--","","--","--","DC / PC","Direct Download","50","","2026-02-13 12:41:30","2026-02-13 12:42:19"
"Donkey Kong","Emulated","","","","","","","X","","","2024-11-03","2024-11-03","First-Play","--","00:06:00","One cycle","--","","--","","--","","--","","--","--","NES / PC","Direct Download","50","","2024-11-03 20:18:45","2024-11-03 20:28:30"
"Donkey Kong Country","Emulated","","","","","","","X","","","2024-10-18","2024-10-19","First-Play","--","2:04:00","39% Completion","--","","--","","--","","--","","--","--","SNES / PC","Direct Download","50","","2024-10-18 19:27:52","2024-10-30 12:24:54"
"Donkey Kong Country 2: Diddy's Kong Quest","Emulated","","","","","","","X","","","2024-11-01","2024-11-03","First-Play","--","3:02:00","53%","--","","--","","--","","--","","--","--","SNES / PC","Direct Download","50","","2024-11-01 19:01:40","2024-11-03 08:22:33"
"Donkey Kong Country 3: Dixie Kong's Double Trouble!","Emulated","","","","","","","X","","","2024-11-03","2024-11-03","First-Play","--","3:05:00","46%","--","","--","","--","","--","","--","--","SNES / PC","Direct Download","50","","2024-11-03 14:49:04","2024-11-03 20:05:07"
"Doom","PC","","","","","","","X","","","2025-01-01","2025-01-06","First-Play","--","10:39:00","","--","","--","","--","","--","","--","--","","Steam","60","","2025-01-01 15:27:21","2025-01-06 19:55:01"
"Doom","Emulated","","","","","","","X","","","","2019-02-27","Replay","5:28:00","5:28:00","","--","","--","","--","","--","","--","--","Homebrew App / PSP","Direct Download","30","","2021-07-19 19:40:18","2023-11-28 21:50:39"
"Doom Eternal","PC","","","","","","","X","","","2025-01-11","2025-01-19","First-Play","--","11:18:00","","--","","--","","--","","--","","--","--","","Steam","70","","2025-01-11 15:33:00","2025-01-19 17:26:05"
"Doom II: Hell on Earth","Emulated","","","","","","","X","","","","2019-02-28","Replay","--","8:21:00","","--","","--","","--","","--","","--","--","Homebrew App / PSP","Direct Download","30","","2021-07-19 21:20:10","2023-10-24 12:26:52"
"Doom: The Dark Ages","PC","","","","","","","X","","","2025-05-15","2025-05-20","First-Play","--","11:43:00","","--","","--","","--","","--","","--","--","","Xbox Game Pass","60","","2025-05-15 12:27:04","2025-05-19 22:16:15"
"Dragon's Dogma: Dark Arisen","PC","","","","","","","","X","Mission design is boring","","","","8:42:00","--","","--","","--","","--","","--","","--","--","","Steam","50","","2023-12-21 16:30:12","2025-02-26 23:38:31"
"Dynamite Cop","Emulated","","","","","","","X","","","2026-02-13","2026-02-13","First-Play","--","00:39:00","Co-op","--","","--","","--","","--","","--","--","DC / PC","Direct Download","50","","2026-02-13 11:21:41","2026-02-13 12:40:49"
"Elden Ring","PC","","","","","","","X","","","","2024-09-09","First-Play","--","--","","90:33:15","179/179 Bosses - First playthrough Ending: Age of the Stars","--","","--","","--","","--","--","179/179 Bosses - First playthrough  Level :168 Vigor: 40 Mind: 18 Endurance: 40 Strength: 60 Dexterity: 21 Intelligence: 31 Faith: 22 Arcane: 15 Ending: Age of the Stars","Steam","90","","2024-07-17 17:35:13","2025-04-08 20:48:38"
"Elden Ring","PC","","","X","","","","X","","","2024-12-16","2025-01-07","Replay","--","53:23:00","Seamless Co-op 2P - Ending: Lord of Frenzied Flame  Main Story : 49:38 We quit the DLC when we reached Messmer.","--","","--","","--","","--","","--","--","Seamless Co-op 2P - Ending: Lord of Frenzied Flame  Main Story : 49:38","Steam","0","","2024-12-21 03:55:10","2025-02-15 16:44:14"
"Elden Ring: Nightreign","PC","","","","","","","X","","","2025-05-30","2025-06-03","First-Play","--","29:03:01","Defeated All Nightlords","--","","--","","--","","--","","--","--","","Steam","70","","2025-05-30 04:00:11","2025-06-03 03:39:00"
"Elden Ring: Nightreign - The Forsaken Hollows","PC","","","","","","","X","","","2025-12-04","2025-12-05","First-Play","--","6:42:00","2/2 Hunt completed.","--","","--","","--","","--","","--","--","","Steam","70","","2025-12-05 12:58:43","2025-12-05 13:00:22"
"Elden Ring: Shadow of the Erdtree","PC","","","","","","","X","","","","2024-09-24","First-Play","--","--","","25:19:42","44/44 Bosses - Shadow Realm Blessing Max - First playthrough","--","","--","","--","","--","--","44/44 Bosses - Shadow Realm Blessing Max - First playthrough Level : 224 Vigor: 58 Mind: 20 Endurance: 40 Strength: 60 Dexterity: 60 Intelligence: 10 Faith: 20 Arcane: 35","Steam","70","","2024-09-10 16:49:09","2024-09-24 08:58:13"
"En Route: Space","PC","","","","","","","X","","","","2022-12-16","First-Play","--","2:30:00","","--","","--","","--","","--","","--","--","","Steam","40","","2022-12-16 15:39:47","2025-01-03 19:44:58"
"ENDER LILIES: Quietus of the Knights","PC","","","","","","","X","","","2025-07-31","2025-08-11","First-Play","--","17:09:00","Ending B","--","","--","","--","","--","","--","--","","Direct Download","50","","2025-07-31 18:24:18","2025-08-11 15:00:05"
"Escape Academy","PC","","","","","","","X","","","","2024-01-03","First-Play","--","5:34:00","Co-op","--","","--","","--","","--","","--","--","","Epic Games","50","","2024-01-02 03:06:28","2025-01-03 19:45:34"
"Factorio","PC","","","","","","","X","","","","2023-07-31","First-Play","--","47:18:11","","--","","--","","--","","--","","--","--","","Steam","100","","2023-07-31 12:58:14","2025-01-03 19:43:07"
"Far Cry 5","PC","","","","","","","","X","Gameplay is decent, but the main missions are very boring.","2025-02-09","","","8:19:00","--","","--","","--","","--","","--","","--","--","","Steam","60","","2025-02-09 05:56:48","2025-02-28 08:42:09"
"Fez","PC","","","","","","","X","","","2024-09-03","2024-09-04","First-Play","--","4:16:00","101.6%","--","","--","","--","","--","","--","--","","Steam","50","","2024-09-03 17:04:16","2024-11-30 01:41:21"
"Final Fantasy","PC","","","","","","","X","","","2025-11-17","2025-12-19","First-Play","--","13:34:00","PIXEL REMASTER - Level 57 - Disabled Encounters","--","","--","","--","","--","","--","--","","Direct Download","60","","2025-11-17 07:38:50","2025-12-19 06:33:35"
"Final Fantasy XV: Complete Edition","PC","","","","","","","","X","The size of the game is too big","","","","15:40:00","--","","--","","--","","--","","--","","--","--","","Steam","0","","2022-05-26 21:58:27","2023-07-04 04:47:23"
